Город,Название в системе,Координаты,Фактический адрес,Юридический адрес,ИНН / КПП склада,Р/С,Телефон,GLN,GUID
Красноярск,"КРАСНОЯРСК_МРФЦ, Красноярск_МРФЦ_Кроссдокинг","56.103758, 93.070763. Смотреть на картах","г. Красноярск, ул. Пограничников, д. 9И","ООО «Интернет Решения», 660111, Красноярский край, г. Красноярск, ул. Пограничников, д. 9и",7704217370 / 246545004,"40702810600014252743 в банке АО «Юникредит Банк», БИК 044525545, к/с 30101810300000000545","Телефон: Диспетчерская +7 958 400-00-05, доб. 70266",4607196284137,7b7a0a96-9eb5-4d91-b5b2-5a9efed04833
Нижний Новгород,"НИЖНИЙ_НОВГОРОД_РФЦ, НИЖНИЙ_НОВГОРОД_РФЦ_Кроссдокинг","56.299372, 43.615007. Смотреть на картах","Россия, Нижегородская область, г. Дзержинск, ш. Игумновское, д. 5Г","ООО «Интернет Решения», Российская Федерация, Нижегородская область, г. Дзержинск, ш. Игумновское, д. 5Г",7704217370 / 524945005,"40702810600014252743 в банке ЗАО «Юникредит Банк», БИК 044525545, к/с 30101810300000000545",Телефон: +7 985 167-63-90,4610063718956,4058a96d-4c6e-4b8b-8fa5-27fffadbb107
Новороссийск,"НОВОРОССИЙСК_МРФЦ_Кроссдокинг, НОВОРОССИЙСК_МРФЦ","44.840945, 37.574539. Смотреть на картах","Российская Федерация, Краснодарский край, г. Новороссийск, ст. Раевская, тер. Автодорога Юровка-Раевская-Новороссийск, 38-й км, д. 4.","ООО «Интернет Решения», Российская Федерация, Краснодарский край, г. Новороссийск, ст. Раевская, тер. Автодорога Юровка-Раевская-Новороссийск, 38-й км, д. 4.",7704217370 / 231545010,"40702810600014252743 в банке АО «Юникредит Банк», БИК 044525545, к/с 30101810300000000545",Телефон: +7 918 628-50-57 Диспетчерская,4610063718949,f4ce4d19-c351-439c-b269-a60ea63b03c7
Новосибирск,"Новосибирск_РФЦ_НОВЫЙ, НОВОСИБИРСК_РФЦ_Кроссдокинг","55.004917, 82.555067. Смотреть на картах","Новосибирская область, городской округ Обь, населённый пункт 3307 километр, ул. 3307 км, д. 16, к. 8","ООО «Интернет Решения», 633100 Новосибирская область, Новосибирский муниципальный район, сельское поселение Толмачевский сельсовет, 3307 км платформа, д. 16, корпус 8",7704217370 / 543345001,"40702810600014252743 в банке ЗАО «Юникредит Банк», БИК 044525545, к/с 30101810300000000545","Телефон: +7 495 744-29-61 доб. 76411, 76420", 4607196244414,c57fdd16-419f-4022-82e3-b19e6c6f87a7
Ногинск,НОГИНСК_РФЦ,"55.829690, 38.248607. Смотреть на картах","142440, Российская Федерация, Московская область, Богородский городской округ, рабочий поселок Обухово, территория Обухово-Парк, дом 2, строение 1","ООО «Интернет Решения», 142440, Российская Федерация, Московская область, Богородский городской округ, рабочий поселок Обухово, территория Обухово-Парк, дом 2, строение 1",7704217370 / 503145006,"40702810600014252743 в банке ЗАО «Юникредит Банк», БИК 044525545, к/с 30101810300000000545",Нет номера телефона,4610063718796,Нет GUID
Павловская Слобода Негабарит,"ПАВЛО_СЛОБОДСКОЕ_РЦ_Кроссдокинг, ПАВЛО_СЛОБОДСКОЕ_РФЦ_НЕГАБАРИТ",Нет координат,"143581, Московская обл., Истринский район, с. Павловская Слобода, территория квартала 0050343, зд. 2","ООО «Интернет Решения», 143581, Россия, Московская область, г. Истра, с. Павловская Слобода, территория квартала 0050343, зд. 2",7704217370 / 501745011,"40702810600014252743 в банке ЗАО «Юникредит Банк», БИК 044525545, к/с 30101810300000000545","Телефон: +7 958 400-00-05, доб. 72191",4640072246812,075779de-eb20-46c8-b75d-3e4e8571e2c4
Петровское,ПЕТРОВСКОЕ_РФЦ,"55.833351, 36.875255. Смотреть на картах","Россия, Московская обл, г. Истра, с. Петровское, территория МПСК Ориентир-Запад, зд. 1А","ОО «Интернет Решения» 143541, Россия, Московская обл, Истра г., Петровское с., МПСК Ориентир-Запад тер, зд. 1А",7704217370 / 501745007,"40702810600014252743 в банке ЗАО «Юникредит Банк», БИК 044525545, к/с 30101810300000000545","Контактные телефоны (Диспетчерская):+7 495 232-10-00, добавочный 71953+7 495 232-10-00, добавочный 71624+7 495 232-10-00, добавочный 71948+7 495 232-10-00, добавочный 70091+7 495 232-10-00, добавочный 71951",4607196270796,4d39ae1e-6721-4213-9d4e-6580be748cef
Пушкино-1,ПУШКИНО_1_РФЦ,"56.041607, 37.885996. Смотреть на картах","Россия, Московская область, Пушкинский городской округ, г. Пушкино, Ярославское шоссе, д. 216.","ООО «Интернет Решения», 141202, Россия, Московская область, Пушкинский городской округ, г. Пушкино, шоссе Ярославское, д. 216.",7704217370 / 503845013,"40702810600014252743 в банке ЗАО «Юникредит Банк», БИК 044525545, к/с 30101810300000000545","Телефон: +7 958 400-00-05 (доб. 70734) — диспетчерская, +7 915 130-58-94 — возвраты",4610063718932,04b4a941-fa62-4e55-925b-a13e0529bb31
Пушкино-2,ПУШКИНО_2_РФЦ,"56.041607, 37.885996. Смотреть на картах","Россия, Московская область, г.о. Пушкинский, г. Пушкино, Ярославское шоссе, д. 218","ООО «Интернет Решения», 141202, Россия, Московская область, г.о. Пушкинский, г. Пушкино, Ярославское шоссе, д. 218",7704217370 / 503845014," 40702810600014252743 в банке АО «Юникредит Банк», БИК 044525545, к/с 30101810300000000545","Телефон: +7 958 400-00-05, доб. 70900",4610063718918,6b1e9278-b859-45f7-89cd-63d015302c2c
Ростов-на-Дону,"Ростов_на_Дону_РФЦ, РОСТОВ-НА-ДОНУ_РФЦ_Кроссдокинг","47.125328, 39.896027. Смотреть на картах","346703, Ростовская область, Аксайский район, хутор Ленина, ул. Логопарк д. 5","ООО «Интернет Решения», 346703 Ростовская область, Аксайский район, х. Ленина, ул. Логопарк, д. 5",7704217370 / 610245001,"40702810600014252743 в банке ЗАО «Юникредит Банк», БИК 044525545, к/с 30101810300000000545",Телефон: +7 918 510-37-61,4607196240768,8ac74fc6-3b20-4730-aaea-460aed2ff78e
Самара,"САМАРА _РФЦ_Кроссдокинг, САМАРА _РФЦ","52.960285, 49.744254. Смотреть на картах","446100, Россия, Самарская область, г. Чапаевск, ул. Индустриальная, зд. 3, Индустриальный парк Чапаевск","ООО «Озон Поволжье», 446100, Россия, Самарская область, г. Чапаевск, ул. Индустриальная, зд. 3", 6330094512 / 633045001,"40702810900000190640 в банке АО «РАЙФФАЙЗЕНБАНК», БИК 044525700, к/с 30101810200000000700","Телефон:  +7 958 400-00-05, добавочный 70530",4610063718970,89dce473-7bd7-4f98-819d-7a383e03e0c6
Санкт-Петербург,"САНКТ-ПЕТЕРБУРГ_РФЦ_Кроссдокинг, Санкт_Петербург_РФЦ","59.814295, 30.478282. Смотреть на картах","г. Санкт-Петербург, внутригородское муниципальное образование Санкт-Петербурга п. Петро-Славянка, ул. Софийская, д. 118, к. 4, стр. 1","ООО «Интернет Решения», 196642 Санкт-Петербург, внутригородское муниципальное образование Санкт-Петербурга поселок Петро-Славянка, Софийская улица, дом 118, корпус 4, строение 1",7704217370 / 781745003,"40702810600014252743 в банке ЗАО «Юникредит Банк», БИК 044525545, к/с 30101810300000000545","Телефон: +7 495 744-29-61, доб. 77582",4607196242335,9ece539f-8528-4840-b320-67c4035e81b5
Софьино,СОФЬИНО_РФЦ,"55.495859, 38.164505. Смотреть на картах","Российская Федерация, Московская область, Раменский городской округ, квартал 4/218, стр. 2/1 (территория Логистического технопарка «Софьино»)","ООО «Интернет Решения», 140126, Россия, Московская область, Раменский г.о., квартал 4/218, стр. 2/1",7704217370 / 504045010,"40702810600014252743 в банке ЗАО «Юникредит Банк», БИК 044525545, к/с 30101810300000000545","Телефон:+7 958 400-00-05, добавочный 70634+7 915 144-49-21",4610063718857,7d64f8cc-2594-4449-aed9-b1e11dd4dbb9
СПБ Бугры,СПБ_БУГРЫ_РФЦ," 60.079010, 30.395133. Смотреть на картах","Россия, Ленинградская область, Всеволожский район, с.п. Бугровское, тер. Бугры Массив, ул. Шоссейная, зд. 50, к. 1","ООО «Интернет Решения», 188660, Россия, Ленинградская область, Всеволожский район, с.п. Бугровское, тер. Бугры Массив, ул. Шоссейная, зд. 50, к. 1",7704217370 / 470645003,"40702810600014252743 в банке АО «Юникредит Банк», БИК 044525545, к/с 30101810300000000545","Телефон: +7 958 400-00-05, доб. отгрузка — 71263, 70735, доб. приёмка — 70748, 72686",4610063718901,a4337345-aa32-46f3-9420-c6ec9b336d7f
СПБ Бугры Ювелирный,СПБ_БУГРЫ_РФЦ_ЮВЕЛИРНЫЙ," 60.079010, 30.395133. Смотреть на картах","Россия, Ленинградская область, Всеволожский район, с.п. Бугровское, тер. Бугры Массив, ул. Шоссейная, зд. 50, к. 1","ООО «Интернет Решения», 188660, Россия, Ленинградская область, Всеволожский район, с.п. Бугровское, тер. Бугры Массив, ул. Шоссейная, зд. 50, к. 1",7704217370 / 010045002,"40702810600014252743 в банке АО «Юникредит Банк», БИК 044525545, к/с 30101810300000000545",Нет номера телефона,4610063718727,Нет GUID
Тверь,Тверь_Хаб или Тверь_РФЦ.,"56.798202, 35.932370. Смотреть на картах","170540, Тверская область, Калининский р-н, промышленная зона Боровлево-2, комплекс 1А","Филиал ООО «Интернет Решения» в Тверской области, 170540, Тверская область, Калининский р-н, промышленная зона Боровлёво-2, комплекс 1А",7704217370 / 694943001,"Р/С 40702810363020002536, Тверское ОСБ №8607 г. Тверь, БИК 042809679, к/с 30101810700000000679","Телефон: +7 4822 63-83-81, добавочный 74862, 72774, 71233.",4607196175190,40c668a9-258a-4a9e-93d6-3bd47148ba20
Хабаровск,Хабаровск_РФЦ,"48.394148, 135.152038. Смотреть на картах","680015, г. Хабаровск, ул. Суворова, д. 82А, корпус 4","ООО «Интернет Решения» 680015 Хабаровский край, Хабаровск г., Суворова ул., 82а",7704217370 / 272345005,"40702810600014252743 в банке ЗАО «Юникредит Банк», БИК 044525545, к/с 30101810300000000545",Телефон: +7 914 203-60-60,4607196265327,1a7d326a-0bd4-434e-b311-fbeff23c22e4
Хабаровск-2,"ХАБАРОВСК_2_РФЦ_КРОССДОКИНГ, ХАБАРОВСК_2_РФЦ","48.447846, 135.157075. Смотреть на картах","Хабаровский край, г.о. «Город Хабаровск», г. Хабаровск, улица Донская, д. 2а/14","ООО «ОЗОН ХАБАРОВСК», 680052, Хабаровский край, город Хабаровск г.о., г. Хабаровск, ул. Донская, д. 2а/14",2700011611 / 270045001,"40702810700000142285 в банке «ГУ Банка России по ЦФО», БИК 044525823 , к/с 30101810200000000823",Телефон: +7 914 372-07-19,4610063718758,Нет GUID
Хоругвино,"ХОРУГВИНО_РФЦ, ХОРУГВИНО_РФЦ_Кроссдокинг","56.126664, 37.209414. Смотреть на картах","141533, Московская обл., Солнечногорский р-н, с. п. Пешковское, дер. Хоругвино, стр. 32/2","ООО «Интернет Решения», 141533 Московская область, Солнечногорский р-н, д. Хоругвино, 32/2",7704217370 / 504445002,"40702810600014252743 в банке ЗАО «Юникредит Банк», БИК 044525545, к/с 30101810300000000545","Телефон: +7 495 232-10-00, добавочный 77992",4607196209376,2cd15b49-8cac-45ea-bad5-1169a01c4c36
Хоругвино Негабарит,"ХОРУГВИНО_РФЦ_Негабарит_Кроссдокинг, Хоругвино_НЕГАБАРИТ","56.126664, 37.209414. Смотреть на картах","141533, Московская обл., Солнечногорский р-н, с. п. Пешковское, дер. Хоругвино, стр. 32/2","ООО «Интернет Решения», 141533 Московская область, Солнечногорский р-н, д. Хоругвино, 32/2",7704217370 / 504445002,"40702810600014252743 в банке ЗАО «Юникредит Банк», БИК 044525545, к/с 30101810300000000545","Телефон: +7 495 232-10-00, добавочный 77992",4607196209376,2cd15b49-8cac-45ea-bad5-1169a01c4c36
Шушары,СПБ_ШУШАРЫ_РФЦ,"59.798385, 30.451271. Смотреть на картах","196158, Россия, г. Санкт-Петербург, поселок Шушары, Московское шоссе, д. 143, стр. 1.","ООО «Интернет Решения», 196158, Россия, г. Санкт-Петербург, пос. Шушары, внутренняя территория города, Московское шоссе, д. 143, стр. 1",7704217370 / 781745005,"40702810600014252743 в банке ЗАО «Юникредит Банк», БИК 044525545, к/с 30101810300000000545","Телефон: +7 812 600-43-20, доб. 72308",4610063718802,fa051b5f-deea-4aaa-9b60-df25f352ea61
Шушары Негабарит,СПБ_ШУШАРЫ_РФЦ_НЕГАБАРИТ,"59.795777, 30.450445. Смотреть на картах","г. Санкт-Петербург, пос. Шушары, ш. Московское, д. 141, корп. 2, стр. 1","ООО «Интернет Решения», г. Санкт-Петербург, пос. Шушары, ш. Московское, д. 141, корп. 2, стр. 1",7704217370 / 781045015,"40702810600014252743 в банке ЗАО «Юникредит Банк», БИК 044525545, к/с 30101810300000000545","Телефон: Диспетчерская +7 958 400-00-05 (доб. 72443), +7 911 160-83-08", 4610063718680,Нет GUID
РЦ Павловская Слобода,ПАВЛО_СЛОБОДСКОЕ_РЦ,Нет координат,"143581, Московская обл., Истринский район, с. Павловская Слобода, территория квартала 0050343, зд. 2","ООО «Интернет Решения», 143581, Россия, Московская область, г. Истра, с. Павловская Слобода, территория квартала 0050343, зд. 2",7704217370 / 501745011,"40702810600014252743 в банке ЗАО «Юникредит Банк», БИК 044525545, к/с 30101810300000000545","Телефон: +7 958 400-00-05, доб. 72191",4640072246812,075779de-eb20-46c8-b75d-3e4e8571e2c4
РЦ Рябиновая_Кроссдокинг,Fresh_DC_МСК_Рябиновая,Нет координат,"121471, г. Москва, ул. Рябиновая, д. 51, стр. 2","121471, г. Москва, ул. Рябиновая, д. 51, стр. 2",7704217370 / 771545462,"40702810100002400756 в банке АО «РАЙФФАЙЗЕНБАНК», БИК 44525700, к/с 30101810200000000700",Нет номера телефона,4610063719748,6154e453-7384-42ab-8afd-97a331367de3
Армавир — Лавриенко,СЦ_АРМАВИР_ЛАВРИЕНКО,Нет координат,"г. Армавир , ул. Лавриненко 1, строения 6, 7, 8","ООО «Интернет Решения», г. Армавир , ул. Лавриненко 1, строения 6, 7, 8",7704217370 / 237245004,"40702810600014252743 в банке ЗАО «Юникредит Банк», БИК 044525545, к/с 30101810300000000545",Нет номера телефона,Нет GLN,Нет GUID
Астрахань — Солянка,АСТРАХАНЬ_ХАБ_СОЛЯНКА,Нет координат,"Астраханская область, Наримановский район с. Солянка, ул. Ермака д.1","ООО «Интернет Решения», Астраханская область, Наримановский район с. Солянка, ул. Ермака д.1",7704217370 / 300045002,"40702810600014252743 в банке ЗАО «Юникредит Банк», БИК 044525545, к/с 30101810300000000545",Телефон: +7 988 174-48-86,Нет GLN,Нет GUID
Барнаул,БАРНАУЛ_ХАБ_ДАЛЬНЯЯ,Нет координат,"Алтайский край, г. Барнаул, ул. Дальняя, д. 24/2","ООО «Интернет Решения», 656922, Алтайский край, г. Барнаул, ул. Дальняя, д. 24/2",7704217370 / 222245007,"40702810600014252743 в банке ЗАО «Юникредит Банк», БИК 044525545, к/с 30101810300000000545",Телефон: +7 913 700-37-54,Нет GLN,Нет GUID
Белгород,СЦ_Белгород_Коммунальная,Нет координат,"308013, обл. Белгородская, г. Белгород, ул. Коммунальная, д. 18","ООО «Интернет Решения», 308009, Белгородская область, г. Белгород, ул. Коммунальная, д. 18",7704217370 / 312345006,"40702810600014252743 в банке ЗАО «Юникредит Банк», БИК 044525545, к/с 30101810300000000545",Нет номера телефона,Нет GLN,Нет GUID
Брянск — Октябрьское,СЦ_БРЯНСК_ОКТЯБРЬСКОЕ,Нет координат,"Брянская область, Брянский район, Добруньское сельское поселение, с. Октябрьское, д. 8/1","ООО «Интернет Решения», обл. Брянская, Брянский район, Добруньское сельское поселение, с. Октябрьское, д. 8/1",7704217370 / 324545001,"40702810600014252743 в банке ЗАО «Юникредит Банк», БИК 044525545, к/с 30101810300000000545",Телефон: +7 910 330 31 91 — Александр,Нет GLN,Нет GUID
Великий Новгород — Сырково,СЦ_Великий_Новгород_Сырково,Нет координат,"173507, обл. Новгородская, р-н Новгородский, д. Сырково, ул. Пригородная, дом 45А, литер Д","ООО «Интернет Решения», 173507, обл. Новгородская, Новгородский р-н, д. Сырково, ул. Пригородная, стр. 45А",7704217370 / 531045002,"40702810600014252743 в банке ЗАО «Юникредит Банк», БИК 044525545, к/с 30101810300000000545",Телефон:  +7 911 630-02-77 — дежурный телефон СЦ.,Нет GLN,Нет GUID
Владимир,ВЛАДИМИР_МОСТОСТРОЕВСКАЯ_ФБС,Нет координат,"600033, Владимирская обл., г. Владимир, ул. Мостостроевская, д. 12","ООО «Интернет Решения», 600033, Владимирская обл., г. Владимир, ул. Мостостроевская, д. 12",7704217370 / 330045001,"40702810600014252743 в банке ЗАО «Юникредит Банк», БИК 044525545, к/с 30101810300000000545",Телефоны:+7 902 880-11-49+7 929 027-87-79+7 915 999-50-99,Нет GLN,Нет GUID
Волгоград,СЦ_ВОЛГОГРАД_ПРЖЕВАЛЬСКОГО,Нет координат,"400127, Волгоград, Волгоградская обл., ул. Пржевальского, 20","ООО «Интернет Решения», 400127, Волгоград, Волгоградская обл., ул. Пржевальского, д. 20",7704217370 / 345945002,"40702810600014252743 в банке ЗАО «Юникредит Банк», БИК 044525545, к/с 30101810300000000545",Телефоны:+7 987 650-08-63;+7 927 513-37-20.,Нет GLN,Нет GUID
Вологда,СЦ_Вологда,Нет координат,"​ ​160014, обл. Вологодская, г. Вологда, ул. Мудрова, д. 30","ООО «Интернет Решения», 160014, обл. Вологодская, г. Вологда, ул. Мудрова, д. 30",7704217370 / 352545005,"40702810600014252743 в банке ЗАО «Юникредит Банк», БИК 044525545, к/с 30101810300000000545",Телефон: +79115402157 — дежурный телефон СЦ,Нет GLN,Нет GUID
Златоуст — Парковый,ЗЛАТОУСТ_ХАБ_ПАРКОВЫЙ,Нет координат,"Челябинская обл., г. Златоуст ул. Парковый проезд 5","ООО «Интернет Решения», Челябинская обл., г. Златоуст ул. Парковый проезд 5",7704217370 / 740445002,"40702810600014252743 в банке ЗАО «Юникредит Банк», БИК 044525545, к/с 30101810300000000545",Телефон: +7 950 739-55-25,Нет GLN,Нет GUID
Иваново — Окружная,ИВАНОВО_ХАБ_ОКРУЖНАЯ,Нет координат,"обл. Ивановская, р-н Ивановский, д. Игнатово, ул. Окружная, д. 17","ООО «Интернет Решения», обл. Ивановская, р-н Ивановский, д. Игнатово, ул. Окружная, д. 17",7704217370 / 370045001,"40702810600014252743 в банке ЗАО «Юникредит Банк», БИК 044525545, к/с 30101810300000000545",Нет номера телефона,Нет GLN,Нет GUID
Ижевск — Пойма,СЦ_ИЖЕВСК_ПОЙМА,Нет координат," Удмуртская Республика, г. Ижевск, ул. Пойма, д. 79Е","ООО «Интернет Решения», Удмуртская Республика, г. Ижевск, ул. Пойма, д. 79",7704217370 / 183245002,"40702810600014252743 в банке ЗАО «Юникредит Банк», БИК 044525545, к/с 30101810300000000545",Нет номера телефона,Нет GLN,Нет GUID
Иркутск — Розы, Иркутск_Хаб_Розы218,Нет координат,"​ 664053, обл. Иркутская, г. Иркутск, ул. Розы Люксембург, д. 218","ООО «Интернет Решения», 64053, обл. Иркутская, г. Иркутск, ул. Розы Люксембург, д. 218",7704217370 / 381245002,"40702810600014252743 в банке ЗАО «Юникредит Банк», БИК 044525545, к/с 30101810300000000545",Телефон:,Нет GLN,Нет GUID
Казань — Аэропорт,КАЗАНЬ_ХАБ_АЭРОПОРТ,Нет координат,"422624 Россия, Респ. Татарстан, р-н Лаишевский, с. Столбище, ул. Советская, д. 271. Ворота 26D/27D","ООО «Интернет Решения», 422624, Респ. Татарстан, р-н Лаишевский, с. Столбище, ул. Советская, д. 271",7704217370 / 168445001,"40702810600014252743 в банке ЗАО «Юникредит Банк», БИК 044525545, к/с 30101810300000000545",Нет номера телефона,Нет GLN,Нет GUID
Калуга — Академический,СЦ_КАЛУГА_АКАДЕМИЧЕСКИЙ,Нет координат,"г. Калуга, 2-й Академический проезд, д. 12","ООО «Интернет Решения»,  г. Калуга, 2-й Академический проезд, д. 12",7704217370 / 400045001,"40702810600014252743 в банке ЗАО «Юникредит Банк», БИК 044525545, к/с 30101810300000000545",Нет номера телефона,Нет GLN,Нет GUID
Кемерово,СЦ_Кемерово,Нет координат,"​650517, обл. Кемеровская область — Кузбасс, р-н Кемеровский, пос. Металлплощадка, ул. Воскресенская, д. 5/3","ООО «Интернет Решения», ​650517, обл. Кемеровская область — Кузбасс, р-н Кемеровский, пос. Металлплощадка, ул. Воскресенская, д. 5/3",7704217370 / 425045001,"40702810600014252743 в банке ЗАО «Юникредит Банк», БИК 044525545, к/с 30101810300000000545",Телефон: +7 961 710-14-23,Нет GLN,Нет GUID
Киров,СЦ_КИРОВ_ЩОРСА,Нет координат,"г. Киров, ул. Щорса, д. 70А/1","ООО «Интернет Решения», 610044, обл. Кировская, г. Киров, ул. Луганская, д. 57А",7704217370 / 434545005,"40702810600014252743 в банке ЗАО «Юникредит Банк», БИК 044525545, к/с 30101810300000000545",Нет номера телефона,Нет GLN,Нет GUID
Краснодар,СЦ_КРАСНОДАР_ФБС,Нет координат,"Краснодарский край, г. Краснодар. х. Октябрьский, ул. Подсолнечная, д. 44А","ООО «Интернет Решения», 350032, Краснодарский край, г. Краснодар. х. Октябрьский, ул. Подсолнечная, д. 44А",7704217370 / 231145001,"40702810600014252743 в банке ЗАО «Юникредит Банк», БИК 044525545, к/с 30101810300000000545",Телефон: +7 989 852-89-09,Нет GLN,Нет GUID
Курган,СЦ_КУРГАН_ОМСКАЯ_3PL,Нет координат,"Курганская обл., г. Курган, ул. Омская, д.179я","ООО «Интернет Решения», 640027 обл. Курганская, г. Курган, ул. Омская, строение 179я",7704217370 / 450145003,"40702810600014252743 в банке ЗАО «Юникредит Банк», БИК 044525545, к/с 30101810300000000545",Нет номера телефона,Нет GLN,Нет GUID
